id,firstname,lastname,email,test,posx,posy,posz,eulx,euly,eulz,timestamp
137344,,,,TestFollow,-0.4080,-0.4410,0.4490,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137347,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137354,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137348,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137345,,,,TestFollow,-0.3970,-0.4410,0.4350,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137351,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137361,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137349,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137359,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
139044,,,,TestFollow,0.0210,-0.4410,0.5160,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137346,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137342,,,,TestFollow,-0.4520,-0.4410,0.5370,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137356,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137343,,,,TestFollow,-0.4220,-0.4410,0.4800,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137355,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137350,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137357,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137360,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137358,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
137352,,,,TestFollow,-0.3940,-0.4410,0.4270,0.0000,0.0000,0.0000,2019-02-15 21:03:36
