id,firstname,lastname,email,test,duration,timeOff,cntOff,timestamp
199,,,,TestFollow,12.2848,12.2848,0,2019-02-15 21:03:36
198,,,,TestLens,2.5685,2.5685,0,2019-02-15 21:02:56
197,,,,TestTap,1.8681,1.8681,0,2019-02-15 21:02:54
196,,,,TestSound,1.8307,1.8307,0,2019-02-15 21:02:51
195,,,,TestRemote,1.7912,1.7912,0,2019-02-15 21:02:50
194,,,,TestBolt,3.3454,3.3454,0,2019-02-15 21:02:48
193,,,,TestIgloo,7.2636,7.2636,0,2019-02-15 21:02:45
192,,,,TestAsset,11.6308,11.6308,0,2019-02-15 21:02:37
191,,,,TestThrust,3.5396,3.5396,0,2019-02-15 21:02:26
190,,,,TestFollow,4.0084,4.0084,0,2019-02-15 21:02:22
189,,,,TestLens,16.5848,16.5848,0,2019-02-15 21:02:18
188,,,,TestLens,4.0242,4.0242,0,2019-02-15 21:02:00
187,,,,TestTap,0.8194,0.8194,0,2019-02-15 21:01:56
186,,,,TestTap,10.7900,10.7900,0,2019-02-15 20:57:10
185,,,,TestTap,2.8974,2.8974,0,2019-02-15 20:56:53
184,,,,TestLens,3.5357,3.5357,0,2019-02-15 20:56:50
183,,,,TestFollow,2.3129,2.3129,0,2019-02-15 20:56:46
182,,,,TestTap,6.5165,6.5165,0,2019-02-15 20:56:32
181,,,,TestTap,5.3616,5.3616,0,2019-02-15 20:56:24
180,,,,TestTap,7.2353,7.2353,0,2019-02-15 20:56:18
